,team,from,to,elo
4487,Bayern,2019-02-14,2019-02-14,1934.99511719
4488,Bayern,2019-02-15,2019-02-15,1936.74206543
4489,Bayern,2019-02-16,2019-02-17,1939.03833008
4490,Bayern,2019-02-18,2019-02-19,1939.03833008
4491,Bayern,2019-02-20,2019-02-20,1941.63830566
4492,Bayern,2019-02-21,2019-02-21,1940.96289062
4493,Bayern,2019-02-22,2019-02-23,1941.94152832
4494,Bayern,2019-02-24,2019-03-02,1943.78088379
4495,Bayern,2019-03-03,2019-03-05,1952.02050781
4496,Bayern,2019-03-06,2019-03-06,1950.50976562
4497,Bayern,2019-03-07,2019-03-07,1950.50976562
4498,Bayern,2019-03-08,2019-03-09,1949.82019043
4499,Bayern,2019-03-10,2019-03-10,1954.54174805
4500,Bayern,2019-03-11,2019-03-12,1954.54174805
4501,Bayern,2019-03-13,2019-03-13,1954.01611328
4502,Bayern,2019-03-14,2019-03-14,1931.60449219
4503,Bayern,2019-03-15,2019-03-17,1935.49108887
4504,Bayern,2019-03-18,2019-03-30,1938.75085449
4505,Bayern,2019-03-31,2019-04-06,1932.44995117
4506,Bayern,2019-04-07,2019-04-11,1941.79577637
4507,Bayern,2019-04-12,2019-04-14,1938.79638672
4508,Bayern,2019-04-15,2019-04-16,1942.25744629
4509,Bayern,2019-04-17,2019-04-18,1942.25744629
4510,Bayern,2019-04-19,2019-04-20,1947.98974609
4511,Bayern,2019-04-21,2019-04-28,1950.17016602
4512,Bayern,2019-04-29,2019-05-02,1942.12023926
4513,Bayern,2019-05-03,2019-05-04,1941.4005127
4514,Bayern,2019-05-05,2019-05-09,1942.41345215
4515,Bayern,2019-05-10,2019-05-11,1944.60864258
4516,Bayern,2019-05-12,2019-05-18,1941.83398438
4517,Bayern,2019-05-19,2019-07-25,1947.40869141
4518,Bayern,2019-07-26,2019-08-01,1947.40515137
4519,Bayern,2019-08-02,2019-08-08,1947.41357422
4520,Bayern,2019-08-09,2019-08-15,1947.87487793
4521,Bayern,2019-08-16,2019-08-16,1947.90551758
4522,Bayern,2019-08-17,2019-08-22,1940.11315918
